Basic gauge opt: block took 27.875412404002418 seconds
         14211123 function calls (14072031 primitive calls) in 29.074 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 token.py:10(<module>)
       50    0.000    0.000    0.000    0.000 pyparsing.py:2652(__init__)
        1    0.000    0.000    0.000    0.000 basic.py:3(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1906(__init__)
        1    0.000    0.000    0.000    0.000 _numdiff.py:1(<module>)
      604    0.000    0.000    0.000    0.000 artist.py:1141(is_alias)
        1    0.000    0.000    0.000    0.000 gatemapcalc.py:1(<module>)
       56    0.000    0.000    0.000    0.000 pyparsing.py:1605(__init__)
      254    0.000    0.000    0.000    0.000 pyparsing.py:340(__new__)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
      536    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
      106    0.000    0.000    0.000    0.000 argparse.py:572(_format_args)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
     2505    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pyopenssl.py:43(<module>)
       26    0.000    0.000    0.000    0.000 cache.py:102(decorator)
        1    0.000    0.000    0.000    0.000 rrule.py:7(<module>)
        1    0.000    0.000    0.000    0.000 security.py:3(<module>)
  254/252    0.000    0.000    0.000    0.000 pyparsing.py:349(__init__)
       31    0.000    0.000    0.000    0.000 argparse.py:252(add_argument)
      328    0.000    0.000    0.000    0.000 _util.py:291(<listcomp>)
        1    0.000    0.000    0.000    0.000 _numpy_compat.py:3(<module>)
      221    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      409    0.000    0.000    0.000    0.000 pyparsing.py:2555(<genexpr>)
       36    0.000    0.000    0.000    0.000 locale.py:375(normalize)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       48    0.000    0.000    0.000    0.000 pyparsing.py:1046(wrapper)
        1    0.000    0.000    0.000    0.000 quadpack.py:3(<module>)
        1    0.000    0.000    0.000    0.000 trf.py:95(<module>)
        1    0.000    0.000    0.000    0.000 config.py:2(<module>)
      573    0.000    0.000    0.000    0.000 pyparsing.py:408(haskeys)
      248    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
     1557    0.000    0.000    0.000    0.000 pyparsing.py:264(__getitem__)
        1    0.000    0.000    0.000    0.000 auto.py:26(AutoMagics)
        1    0.000    0.000    0.000    0.000 storemagic.py:11(<module>)
      492    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
     1716    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chunked_request.py:1(<module>)
       30    0.000    0.000    0.000    0.000 traitlets.py:2173(__init__)
        1    0.000    0.000    0.000    0.000 zipfile.py:694(ZipExtFile)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 message.py:106(Message)
        4    0.000    0.000    0.000    0.000 re.py:205(findall)
        1    0.000    0.000    0.000    0.000 configurable.py:131(_load_config)
     1754    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:3393(__str__)
        4    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 gatestringconstruction.py:1(<module>)
       81    0.000    0.000    0.000    0.000 specifiers.py:591(__init__)
      120    0.000    0.000    0.000    0.000 textwrap.py:180(<listcomp>)
       40    0.000    0.000    0.000    0.000 utils.py:73(__call__)
      222    0.000    0.000    0.000    0.000 token.py:15(split)
       17    0.000    0.000    0.000    0.000 pyparsing.py:1907(__or__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 kde.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 linesearch.py:13(<module>)
      121    0.000    0.000    0.000    0.000 traitlets.py:649(tag)
     3900    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       19    0.000    0.000    0.000    0.000 nosetester.py:511(_numpy_tester)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
      155    0.000    0.000    0.000    0.000 argparse.py:604(_iter_indented_subactions)
        2    0.000    0.000    0.000    0.000 tempfile.py:157(__next__)
       85    0.000    0.000    0.000    0.000 pyparsing.py:2327(__init__)
       91    0.000    0.000    0.000    0.000 pyparsing.py:1577(__init__)
      186    0.000    0.000    0.000    0.000 os.py:796(encode)
        2    0.000    0.000    0.000    0.000 lazy.py:135(__new__)
        1    0.000    0.000    0.000    0.000 utf8prober.py:28(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:243(load)
        1    0.000    0.000    0.000    0.000 mstats.py:94(<module>)
        1    0.000    0.000    0.000    0.000 path.py:1014(_define_deprecated_functions)
        1    0.000    0.000    0.000    0.000 embed.py:26(EmbeddedMagics)
        1    0.000    0.000    0.000    0.000 completion.py:3(<module>)
       35    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 strdispatch.py:2(<module>)
      248    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
        1    0.000    0.000    0.000    0.000 flinalg.py:5(<module>)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        2    0.000    0.000    0.000    0.000 decorator.py:239(decorator)
        1    0.000    0.000    0.000    0.000 cobyla.py:11(<module>)
      168    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       17    0.000    0.000    0.000    0.000 pyparsing.py:3499(__init__)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      277    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
      109    0.000    0.000    0.000    0.000 <string>:16(_make)
        1    0.000    0.000    0.000    0.000 macro.py:1(<module>)
      483    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      144    0.000    0.000    0.000    0.000 colors.py:676(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        1    0.000    0.000    0.000    0.000 pseudo_diffs.py:3(<module>)
      347    0.000    0.000    0.000    0.000 _distn_infrastructure.py:46(instancemethod)
       27    0.000    0.000    0.000    0.000 pyparsing.py:4189(__init__)
      626    0.000    0.000    0.000    0.000 version.py:207(<genexpr>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:1181(setResultsName)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
        1    0.000    0.000    0.000    0.000 slsqp.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2693(DistInfoDistribution)
       62    0.000    0.000    0.000    0.000 __init__.py:2596(<listcomp>)
      127    0.000    0.000    0.000    0.000 decorator.py:176(<listcomp>)
     3754    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 sysinfo.py:4(<module>)
     2256    0.000    0.000    0.000    0.000 inspect.py:2438(default)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method posix.open}
      223    0.000    0.000    0.000    0.000 _distn_infrastructure.py:710(<genexpr>)
        1    0.000    0.000    0.000    0.000 ipapp.py:179(TerminalIPythonApp)
      294    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        9    0.000    0.000    0.000    0.000 datetime.py:338(__new__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3268(oneOf)
        1    0.000    0.000    0.000    0.000 traitlets.py:948(__new__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1836(__mul__)
        1    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
      102    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.zeros}
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 universaldetector.py:51(UniversalDetector)
        1    0.000    0.000    0.000    0.000 emacs.py:2(<module>)
        1    0.000    0.000    0.000    0.000 traitlets.py:980(setup_instance)
        1    0.000    0.000    0.000    0.000 nnls.py:1(<module>)
        9    0.000    0.000    0.000    0.000 cbook.py:189(deprecate)
        1    0.000    0.000    0.000    0.000 menus.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gaugegroup.py:1(<module>)
        1    0.000    0.000    0.000    0.000 formatter.py:10(<module>)
     1803    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 numeric.py:365(extend_all)
       37    0.000    0.000    0.000    0.000 pyparsing.py:2371(__init__)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3027(__init__)
        1    0.000    0.000    0.000    0.000 fitpack2.py:7(<module>)
      888    0.000    0.000    0.000    0.000 sre_parse.py:161(__setitem__)
        1    0.000    0.000    0.000    0.000 from_dict.py:8(<module>)
        1    0.000    0.000    0.000    0.000 traitlets.py:959(setup_instance)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:20(<module>)
        2    0.000    0.000    0.000    0.000 _multivariate.py:1524(__init__)
       22    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
       29    0.000    0.000    0.000    0.000 _pslinux.py:955(wrap_exceptions)
        4    0.000    0.000    0.000    0.000 ssl.py:115(_import_symbols)
     2003    0.000    0.000    0.000    0.000 inspect.py:2739(parameters)
        1    0.000    0.000    0.000    0.000 interface.py:41(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 dash_apps.py:3(<module>)
        1    0.000    0.000    0.000    0.000 formatters.py:253(BaseFormatter)
        1    0.000    0.000    0.000    0.000 paths.py:2(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:957(_register_types)
        1    0.000    0.000    0.000    0.000 latex_symbols.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2255(__init__)
        1    0.000    0.000    0.000    0.000 text.py:577(DollarFormatter)
       15    0.000    0.000    0.000    0.000 lexer.py:45(__new__)
        1    0.000    0.000    0.000    0.000 tnc.py:33(<module>)
        1    0.000    0.000    0.000    0.000 pretty.py:79(<module>)
        1    0.000    0.000    0.000    0.000 traitlets.py:1405(traits)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1885(makeOptionalList)
       15    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
       27    0.000    0.000    0.000    0.000 core.py:903(__init__)
       20    0.000    0.000    0.000    0.000 traitlets.py:2466(__init__)
        1    0.000    0.000    0.000    0.000 version.py:267(LooseVersion)
      316    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        2    0.000    0.000    0.000    0.000 tempfile.py:146(rng)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1099(_ip_int_from_string)
       58    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 margins.py:3(<module>)
        1    0.000    0.000    0.000    0.000 plotly.py:473(Stream)
      306    0.000    0.000    0.000    0.000 argparse.py:1270(register)
      420    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      626    0.000    0.000    0.000    0.000 version.py:244(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:331(__init__)
        1    0.000    0.000    0.000    0.000 display.py:4(<module>)
        1    0.000    0.000    0.000    0.000 dates.py:455(DateFormatter)
        1    0.000    0.000    0.000    0.000 formatters.py:533(PlainTextFormatter)
        8    0.000    0.000    0.000    0.000 __init__.py:1774(getLogger)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1490(cpu_times)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3342(originalTextFor)
       18    0.000    0.000    0.000    0.000 argparse.py:640(_fill_text)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
      912    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shellapp.py:101(InteractiveShellApp)
      189    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      980    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
      210    0.000    0.000    0.000    0.000 enum.py:16(_is_dunder)
       31    0.000    0.000    0.000    0.000 argparse.py:1705(_add_action)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1630(_ip_int_from_string)
       40    0.000    0.000    0.000    0.000 utils.py:117(deprecate)
       13    0.000    0.000    0.000    0.000 path.py:212(_update_values)
        1    0.000    0.000    0.000    0.000 output.py:3(<module>)
        2    0.000    0.000    0.000    0.000 response.py:1(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:406(_find_new_)
       18    0.000    0.000    0.000    0.000 locale.py:341(_replace_encoding)
       25    0.000    0.000    0.000    0.000 pyparsing.py:3956(__init__)
       61    0.000    0.000    0.000    0.000 pyparsing.py:2785(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:330(Process)
       86    0.000    0.000    0.000    0.000 pyparsing.py:3398(<genexpr>)
        1    0.000    0.000    0.000    0.000 formatters.py:851(IPythonDisplayFormatter)
      889    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
        8    0.000    0.000    0.000    0.000 __init__.py:1132(getLogger)
       16    0.000    0.000    0.000    0.000 numeric.py:1015(outer)
        1    0.000    0.000    0.000    0.000 defaults.py:3(<module>)
        1    0.000    0.000    0.000    0.000 traitlets.py:224(getmembers)
       78    0.000    0.000    0.000    0.000 re.py:323(_subx)
      315    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       31    0.000    0.000    0.000    0.000 argparse.py:1547(_add_action)
        3    0.000    0.000    0.000    0.000 magic.py:213(_function_magic_marker)
        2    0.000    0.000    0.000    0.000 utils.py:460(memoize)
        1    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
      108    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1961(MozillaCookieJar)
        6    0.000    0.000    0.000    0.000 patches.py:1747(<listcomp>)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       83    0.000    0.000    0.000    0.000 pyparsing.py:522(_asStringList)
        2    0.000    0.000    0.000    0.000 lazy.py:80(__new__)
       42    0.000    0.000    0.000    0.000 posixpath.py:158(islink)
     1172    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      164    0.000    0.000    0.000    0.000 artist.py:1151(aliased_name)
    35/33    0.000    0.000    0.000    0.000 pyparsing.py:2711(__str__)
        1    0.000    0.000    0.000    0.000 vt100_output.py:179(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       60    0.000    0.000    0.000    0.000 sre_compile.py:391(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
      335    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
     2016    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       22    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 storemagic.py:58(StoreMagics)
        1    0.000    0.000    0.000    0.000 <decorator-gen-114>:1(_memoize)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
      177    0.000    0.000    0.000    0.000 io.py:39(clone)
     1597    0.000    0.000    0.000    0.000 pyparsing.py:965(postParse)
        1    0.000    0.000    0.000    0.000 types.py:1(<module>)
       46    0.000    0.000    0.000    0.000 pyparsing.py:1891(__str__)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1770(<genexpr>)
       50    0.000    0.000    0.000    0.000 traitlets.py:902(__call__)
        1    0.000    0.000    0.000    0.000 pathlib.py:366(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 excolors.py:4(<module>)
       12    0.000    0.000    0.000    0.000 fontconfig_pattern.py:138(_family)
        1    0.000    0.000    0.000    0.000 formatters.py:36(DisplayFormatter)
      152    0.000    0.000    0.000    0.000 colors.py:499(__init__)
       54    0.000    0.000    0.000    0.000 patches.py:1784(<listcomp>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4409(delimitedList)
       13    0.000    0.000    0.000    0.000 posixpath.py:355(abspath)
       18    0.000    0.000    0.000    0.000 core.py:981(__init__)
       48    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        1    0.000    0.000    0.000    0.000 latex_symbols.py:1300(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
      969    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        8    0.000    0.000    0.000    0.000 core.py:7777(__init__)
        1    0.000    0.000    0.000    0.000 gatestringstructure.py:1(<module>)
       59    0.000    0.000    0.000    0.000 cbook.py:696(is_string_like)
        1    0.000    0.000    0.000    0.000 parser.py:48(_timelex)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3312(setResultsName)
        6    0.000    0.000    0.000    0.000 __init__.py:318(_assert_pid_not_reused)
      230    0.000    0.000    0.000    0.000 posixpath.py:50(normcase)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
      460    0.000    0.000    0.000    0.000 pyparsing.py:1487(__str__)
      120    0.000    0.000    0.000    0.000 textwrap.py:116(__init__)
        1    0.000    0.000    0.000    0.000 reactive.py:22(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:232(__init__)
        1    0.000    0.000    0.000    0.000 completer.py:544(IPCompleter)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
      151    0.000    0.000    0.000    0.000 argparse.py:565(format)
        1    0.000    0.000    0.000    0.000 config.py:30(ConfigMagics)
      124    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
   164/83    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       14    0.000    0.000    0.000    0.000 sre_compile.py:379(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
        1    0.000    0.000    0.000    0.000 tzinfo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-112>:1(_memoize)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
      378    0.000    0.000    0.000    0.000 six.py:88(__init__)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:599(__contains__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
       17    0.000    0.000    0.000    0.000 pyparsing.py:3535(__str__)
      129    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
      217    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 imp.py:7(<module>)
        1    0.000    0.000    0.000    0.000 validation.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:772(__init__)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.000    0.000 _pslinux.py:410(per_cpu_times)
        6    0.000    0.000    0.000    0.000 function_base.py:9(linspace)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        9    0.000    0.000    0.000    0.000 extras.py:236(getdoc)
        1    0.000    0.000    0.000    0.000 auth.py:8(<module>)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
      830    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      141    0.000    0.000    0.000    0.000 functools.py:73(wraps)
       17    0.000    0.000    0.000    0.000 posixpath.py:318(normpath)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
        8    0.000    0.000    0.000    0.000 core.py:7782(getdoc)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
       31    0.000    0.000    0.000    0.000 argparse.py:1356(_add_action)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
        1    0.000    0.000    0.000    0.000 history.py:810(HistorySavingThread)
        7    0.000    0.000    0.000    0.000 posixpath.py:221(expanduser)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:919(_sanity_check)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
      212    0.000    0.000    0.000    0.000 argparse.py:285(<listcomp>)
        1    0.000    0.000    0.000    0.000 regexopt.py:11(<module>)
        2    0.000    0.000    0.000    0.000 rcsetup.py:239(validate_toolbar)
        1    0.000    0.000    0.000    0.000 excolors.py:17(exception_colors)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linalg_version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
        1    0.000    0.000    0.000    0.000 _multivariate.py:336(__init__)
       40    0.000    0.000    0.000    0.000 sre_parse.py:251(getwhile)
      125    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
      108    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 grid_objs.py:5(<module>)
      150    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        1    0.000    0.000    0.000    0.000 traitlets.py:978(HasTraits)
        9    0.000    0.000    0.000    0.000 pathlib.py:368(_wrap_strfunc)
        1    0.000    0.000    0.000    0.000 dataset.py:1(<module>)
      281    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:34(__or__)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
      330    0.000    0.000    0.000    0.000 traitlets.py:383(class_init)
        1    0.000    0.000    0.000    0.000 enum.py:453(Enum)
        1    0.000    0.000    0.000    0.000 gaugegroup.py:39(get_element)
       16    0.000    0.000    0.000    0.000 shape_base.py:662(get_array_prepare)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
        1    0.000    0.000    0.000    0.000 displaypub.py:13(<module>)
       20    0.000    0.000    0.000    0.000 __init__.py:1927(find_distributions)
        1    0.000    0.000    0.000    0.000 base.py:92(__missing__)
      140    0.000    0.000    0.000    0.000 pyparsing.py:1328(preParse)
        1    0.000    0.000    0.000    0.000 backgroundjobs.py:23(<module>)
       22    0.000    0.000    0.000    0.000 argparse.py:1436(_get_optional_kwargs)
        1    0.000    0.000    0.000    0.000 gateset.py:40(GateSet)
       31    0.000    0.000    0.000    0.000 traitlets.py:760(observe)
       81    0.000    0.000    0.000    0.000 requirements.py:57(<lambda>)
        1    0.000    0.000    0.000    0.000 prefilter.py:526(PrefilterHandler)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
      113    0.000    0.000    0.000    0.000 rcsetup.py:119(validate_bool)
        1    0.000    0.000    0.000    0.000 labeldicts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
      126    0.000    0.000    0.000    0.000 __init__.py:721(__iter__)
      889    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:656(create_module)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 displayhook.py:5(<module>)
       42    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       78    0.000    0.000    0.000    0.000 re.py:306(_compile_repl)
        8    0.000    0.000    0.000    0.000 coloransi.py:113(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
       34    0.000    0.000    0.000    0.000 docstring.py:44(__call__)
       30    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
      706    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 completion.py:2(<module>)
        1    0.000    0.000    0.000    0.000 ptutils.py:5(<module>)
        1    0.000    0.000    0.000    0.000 python.py:413(PythonTracebackLexer)
       99    0.000    0.000    0.000    0.000 ipaddress.py:1882(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
        1    0.000    0.000    0.000    0.000 __init__.py:648(<listcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:1071(Arrow)
        1    0.000    0.000    0.000    0.000 customcg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1311(datetime)
      866    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       32    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.concatenate}
        1    0.000    0.000    0.000    0.000 spamvec.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:450(open)
        3    0.000    0.000    0.000    0.000 __init__.py:475(PYFUNCTYPE)
        4    0.000    0.000    0.000    0.000 __init__.py:513(_get_home)
        1    0.000    0.000    0.000    0.000 _pslinux.py:239(get_sector_size)
        1    0.000    0.000    0.000    0.000 polyint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       28    0.000    0.000    0.000    0.000 pyparsing.py:2701(__str__)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error.py:13(<module>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2998(__str__)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1800(__radd__)
        1    0.000    0.000    0.000    0.000 tarfile.py:1375(TarFile)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
      232    0.000    0.000    0.000    0.000 decorator.py:220(<genexpr>)
        1    0.000    0.000    0.000    0.000 kdtree.py:3(<module>)
      910    0.000    0.000    0.000    0.000 inspect.py:2442(annotation)
        1    0.000    0.000    0.000    0.000 keys.py:1(<module>)
      197    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
        1    0.000    0.000    0.000    0.000 win.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _cubic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:3(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1167(setName)
       44    0.000    0.000    0.000    0.000 rcsetup.py:316(validate_color)
        1    0.000    0.000    0.000    0.000 payload.py:8(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2683(MaskedArray)
      332    0.000    0.000    0.000    0.000 pyparsing.py:1493(streamline)
      582    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       10    0.000    0.000    0.000    0.000 inputtransformer.py:70(wrap)
       18    0.000    0.000    0.000    0.000 traitlets.py:1860(__init__)
      108    0.000    0.000    0.000    0.000 __init__.py:2333(<lambda>)
      480    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
